Date,Close,High,Low,Open,Volume
7/1/1997,4300.859863,4301.77002,4247.660156,4263.109863,0
7/2/1997,4333.899902,4395.310059,4295.399902,4302.959961,0
7/3/1997,4323.459961,4393.290039,4299.970215,4335.790039,0
7/4/1997,4323.819824,4347.589844,4300.580078,4332.700195,0
7/7/1997,4291.450195,4391.009766,4289.490234,4326.810059,0
7/8/1997,4306.390137,4313,4252.490234,4285.649902,0
7/9/1997,4404.689941,4404.830078,4315.419922,4315.419922,0
7/10/1997,4378.370117,4448.060059,4376.109863,4413.390137,0
7/11/1997,4321.97998,4372.75,4301.930176,4372.75,0
7/14/1997,4225.02002,4251.700195,4182.419922,4251.700195,0
7/15/1997,4221.02002,4261.029785,4204.720215,4229.890137,0
7/16/1997,4183.419922,4263.259766,4171,4232.529785,0
7/17/1997,4193.609863,4202.310059,4152.259766,4183.910156,0
7/18/1997,4124.810059,4193.720215,4115.72998,4174.720215,0
7/21/1997,4154.279785,4155.5,4105.279785,4134.080078,0
7/22/1997,4186.290039,4189.819824,4145.649902,4161.939941,0
7/23/1997,4251.129883,4258.600098,4182.319824,4204.830078,0
7/24/1997,4226.370117,4294.950195,4223.609863,4264.930176,0
7/25/1997,4189.810059,4222.72998,4159,4218.290039,0
7/28/1997,4181.47998,4197.209961,4163.529785,4191.910156,0
7/29/1997,4217.580078,4218.97998,4171.109863,4180.589844,0
7/30/1997,4244.890137,4253.810059,4220.180176,4230.799805,0
7/31/1997,4305.759766,4331.580078,4245.52002,4252.370117,0
8/1/1997,4347.319824,4356.549805,4314.060059,4322.189941,0
8/4/1997,4465.370117,4478.189941,4392.470215,4392.470215,0
8/5/1997,4548.02002,4548.790039,4477.5,4477.5,0
8/6/1997,4523.009766,4605.410156,4505.060059,4568.390137,0
8/7/1997,4447.060059,4546.910156,4439.47998,4527.910156,0
8/8/1997,4397.540039,4467.180176,4373.200195,4460.22998,0
8/11/1997,4481.299805,4482.509766,4423.689941,4434.02002,0
8/12/1997,4425.029785,4504.029785,4393.240234,4496.799805,0
8/13/1997,4370.129883,4419.339844,4353.319824,4419.339844,0
8/14/1997,4320.970215,4381.529785,4290.129883,4372.290039,0
8/19/1997,4165.370117,4277.290039,4151.629883,4277.290039,0
8/20/1997,4234.629883,4238.089844,4144.470215,4166.790039,0
8/21/1997,4156.160156,4265.189941,4138.27002,4252.049805,0
8/22/1997,4047.669922,4144.169922,4037.310059,4132.990234,0
8/26/1997,4107.240234,4110.509766,4038.580078,4038.580078,0
8/27/1997,4097.560059,4132.620117,4085.290039,4131.049805,0
8/28/1997,3963.149902,4093.76001,3960.340088,4093.76001,0
8/29/1997,3876.080078,3945.669922,3851.040039,3916.580078,0
9/1/1997,3943.669922,3948.919922,3854.209961,3875.26001,0
9/2/1997,3950.030029,3960.76001,3869.610107,3944.310059,0
9/3/1997,3965.389893,4016.209961,3946.429932,3966.870117,0
9/4/1997,4007.040039,4012.179932,3932.77002,3963.939941,0
9/5/1997,4032.350098,4036.610107,4005.070068,4018.590088,0
9/8/1997,4087.300049,4088.26001,4006.280029,4029.850098,0
9/9/1997,4031.550049,4112.47998,4030.860107,4095.120117,0
9/10/1997,4045.610107,4050.280029,3998.320068,4018.75,0
9/11/1997,4010.070068,4070.360107,4008,4057.899902,0
9/12/1997,3995.939941,4018.5,3979.429932,4013.01001,0
9/15/1997,4018.419922,4057.350098,3985.969971,3987.389893,0
9/16/1997,4012.590088,4035.389893,4000.840088,4026.02002,0
9/17/1997,3928.330078,4013.679932,3914.580078,4013.679932,0
9/18/1997,3884.77002,3904.419922,3844.48999,3904.419922,0
9/19/1997,3825.120117,3894.090088,3820.280029,3891.629883,0
9/22/1997,3770.98999,3835.040039,3758.52002,3830.810059,0
9/23/1997,3822.419922,3823.290039,3763.370117,3772.590088,0
9/24/1997,3825.909912,3864.25,3823.01001,3834.969971,0
9/25/1997,3887.560059,3888.51001,3835.800049,3835.800049,0
9/26/1997,3925.23999,3927.77002,3883.879883,3895.97998,0
9/29/1997,3912.830078,3964.030029,3908.840088,3918.050049,0
9/30/1997,3902.030029,3918.419922,3885.590088,3911.340088,0
10/1/1997,3905.51001,3905.51001,3848.149902,3885.409912,0
10/3/1997,3847.72998,3923.26001,3833.919922,3907.219971,0
10/6/1997,3857.340088,3862.169922,3829.050049,3850.350098,0
10/7/1997,3909.459961,3910.330078,3845.709961,3851.939941,0
10/8/1997,3930.22998,3940.530029,3912.399902,3912.399902,0
10/9/1997,3979.959961,3982.439941,3917.389893,3927.850098,0
10/10/1997,4057.370117,4083.98999,3999.649902,3999.649902,0
10/13/1997,4066.050049,4118.919922,4056.47998,4093.919922,0
10/14/1997,4012.399902,4062.810059,4011.110107,4061.51001,0
10/15/1997,4034.550049,4042.689941,3999.139893,4015.550049,0
10/16/1997,4077.050049,4090.51001,4046.469971,4082.659912,0
10/17/1997,4106.259766,4137.77002,4095.699951,4102.290039,0
10/20/1997,4154.839844,4157.009766,4103.629883,4123.799805,0
10/21/1997,4116.990234,4166.140137,4103.859863,4157.689941,0
10/22/1997,4082.699951,4119.549805,4079.870117,4118.669922,0
10/23/1997,4009.77002,4080.120117,3983.179932,4073.419922,0
10/24/1997,3957.459961,3992.399902,3922.540039,3992.399902,0
10/27/1997,3934.330078,3979.530029,3914.959961,3969.75,0
10/30/1997,3803.23999,3815.23999,3795.659912,3803.090088,0
11/3/1997,3790.820068,3820.370117,3748.889893,3814.75,0
11/4/1997,3805.949951,3852.23999,3782.939941,3799.550049,0
11/5/1997,3778.22998,3807.449951,3759.159912,3805.139893,0
11/6/1997,3763.959961,3766.76001,3714.030029,3744.389893,0
11/7/1997,3747.320068,3764.610107,3732.110107,3761.159912,0
11/10/1997,3721.050049,3733.310059,3707.669922,3733.310059,0
11/11/1997,3723.399902,3750.25,3723.399902,3724.850098,0
11/12/1997,3633.179932,3739.040039,3627.850098,3721.389893,0
11/13/1997,3554.100098,3616.439941,3534.060059,3601.300049,0
11/14/1997,3569.77002,3594.179932,3514.689941,3570.340088,0
11/17/1997,3578.100098,3580.909912,3539.25,3552.429932,0
11/18/1997,3518.899902,3573.870117,3494.800049,3573.870117,0
11/19/1997,3454.649902,3479.070068,3393.149902,3479.070068,0
11/20/1997,3466.860107,3504.409912,3390.709961,3394.27002,0
11/21/1997,3523.439941,3541.22998,3450.399902,3450.75,0
11/24/1997,3403.070068,3518.580078,3399.719971,3512.820068,0
11/25/1997,3479.889893,3490.399902,3388.459961,3400.75,0
11/26/1997,3535.52002,3577.590088,3514.97998,3516.050049,0
11/27/1997,3628.070068,3645.899902,3524.139893,3530.679932,0
11/28/1997,3560.290039,3617.330078,3522.590088,3616.469971,0
12/1/1997,3569.649902,3574.060059,3488.659912,3536.070068,0
12/2/1997,3553.47998,3601.429932,3538,3566.530029,0
12/3/1997,3562.370117,3590.899902,3537.669922,3559.879883,0
12/4/1997,3527.100098,3595,3503.48999,3530.310059,0
12/5/1997,3469.080078,3552.27002,3469.080078,3526.02002,0
12/8/1997,3468.189941,3493.209961,3455.860107,3479.409912,0
12/9/1997,3391.590088,3485.01001,3367.889893,3469.919922,0
12/10/1997,3347.330078,3380.030029,3325.25,3364.51001,0
12/11/1997,3329.139893,3344.409912,3247.629883,3336.330078,0
12/12/1997,3329.27002,3383.320068,3320.669922,3340.149902,0
12/15/1997,3367.560059,3371.72998,3291.090088,3321.550049,0
12/16/1997,3424.870117,3444.919922,3374.280029,3374.580078,0
12/17/1997,3487.02002,3499.26001,3455.100098,3458.27002,0
12/18/1997,3472.350098,3525.600098,3463.26001,3481.949951,0
12/19/1997,3540.189941,3542.040039,3460.179932,3463.459961,0
12/22/1997,3616.340088,3629.419922,3553.679932,3553.679932,0
12/23/1997,3641.110107,3676.76001,3627.090088,3639.97998,0
12/24/1997,3607.689941,3616.949951,3549.580078,3596.070068,0
12/26/1997,3633.379883,3651.419922,3620.919922,3620.919922,0
12/29/1997,3706.790039,3709.719971,3643.780029,3648.649902,0
12/30/1997,3637.709961,3703.840088,3623.929932,3703.840088,0
12/31/1997,3658.97998,3711.26001,3630.47998,3630.47998,0
1/1/1998,3694.620117,3711.689941,3658.340088,3658.340088,0
1/2/1998,3719.850098,3739.379883,3701.399902,3704.469971,0
1/5/1998,3739.209961,3792.860107,3736.939941,3745.189941,0
1/6/1998,3719.620117,3727.23999,3684.02002,3724.429932,0
1/7/1998,3683.310059,3745.709961,3658.949951,3715.379883,0
1/8/1998,3598.159912,3679.139893,3598.159912,3671.689941,0
1/9/1998,3530.199951,3579.23999,3514.98999,3579.23999,0
1/12/1998,3395.040039,3482.97998,3394.949951,3482.97998,0
1/13/1998,3431.719971,3479.949951,3417.050049,3427.149902,0
1/14/1998,3400.790039,3482.050049,3380.97998,3431.719971,0
1/15/1998,3365.780029,3415.870117,3318.689941,3390.370117,0
1/16/1998,3382.320068,3398.969971,3351.209961,3373.100098,0
1/19/1998,3480.860107,3484.77002,3374.389893,3383.889893,0
1/20/1998,3455.949951,3516,3448.969971,3487.860107,0
1/21/1998,3418.340088,3462.360107,3418.199951,3452.360107,0
1/22/1998,3380.300049,3409.340088,3366.939941,3408.669922,0
1/23/1998,3351.209961,3375.860107,3340.310059,3375.860107,0
1/27/1998,3276.209961,3355.219971,3272.179932,3352.060059,0
